k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
40,16,10,2.5,6,0.22,2.6,0.6730120699882016,0.2402509994856295
36,12,20,3.0,10,0.22,2.2,0.6730129630802588,0.2402865578502318
40,12,10,2.0,14,0.15,1.8,0.6730216829404885,0.24022103602070707
40,16,10,2.5,10,0.18,2.2,0.6730222797207843,0.2402488773623134
36,12,10,2.5,10,0.15,2.6,0.6730241164411888,0.24019543679297373
40,12,10,1.5,10,0.22,2.2,0.6730309816081242,0.24019976958629238
40,12,20,2.5,14,0.22,2.2,0.6730334779995067,0.2403603178159704
32,12,10,3.0,14,0.22,1.8,0.6730354065933345,0.24022294293788704
40,12,15,2.0,6,0.22,2.6,0.6730382682056363,0.2402534299055735
32,12,15,3.0,14,0.22,2.6,0.6730451709438638,0.24026732898690972
36,12,15,2.5,10,0.18,2.6,0.6730522015437258,0.2402443270887907
36,12,10,2.5,10,0.18,1.8,0.6730547885120252,0.24020833690237278
32,12,10,3.0,14,0.18,2.6,0.6730588972022068,0.24023334433486776
36,12,15,2.5,10,0.22,1.8,0.6730637177288116,0.24025004822837925
40,16,15,3.0,14,0.18,2.6,0.6730652143242746,0.2403907561003131
