k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
36,16,20,3.0,14,0.22,2.6,0.6676201661196995,0.23766433832479122
36,16,15,3.0,14,0.15,1.8,0.6676213644275557,0.237586010138566
36,12,15,2.5,14,0.22,1.8,0.6676297810212459,0.23758553419313977
40,12,20,2.5,10,0.22,1.8,0.6676340931710154,0.23762022051466455
40,20,20,3.0,14,0.22,2.2,0.667637740514263,0.23773431692923855
40,16,10,3.0,10,0.15,2.2,0.6676394980210807,0.2376038949071923
36,12,15,2.5,14,0.15,2.6,0.6676424198833247,0.23758021324057285
36,12,20,3.0,10,0.22,2.6,0.6676468624447047,0.2376357591206545
40,16,20,2.5,14,0.15,2.6,0.6676489974133485,0.23764209293200464
36,12,15,3.0,10,0.22,1.8,0.6676583964306843,0.23760463089843425
40,20,10,2.5,14,0.22,2.2,0.6676588860508366,0.23765946244708125
40,16,15,2.0,14,0.22,2.6,0.6676684616870076,0.2376451614808297
36,12,20,2.5,14,0.22,2.6,0.6676728223450217,0.2376382982205463
40,12,20,2.0,14,0.22,1.8,0.667674446116665,0.23763547601081783
40,16,15,3.0,10,0.18,1.8,0.667676625918034,0.23763489242393798
40,20,20,3.0,14,0.18,2.6,0.6676798724297505,0.23773046189026936
40,12,20,3.0,10,0.15,1.8,0.6676807107420079,0.23761510389913298
40,16,15,2.5,10,0.22,2.2,0.6676819702857332,0.23765327010506473
40,12,25,3.0,10,0.22,1.8,0.6676848458761203,0.2376828770205976
40,12,25,2.5,10,0.22,2.6,0.6676876457968509,0.23768977071404015
36,16,20,3.0,14,0.18,2.6,0.6676919959501547,0.2376722800864911
40,20,10,2.5,14,0.18,2.6,0.6676961006246674,0.2376646905980536
36,16,10,3.0,14,0.15,1.8,0.6676971091482953,0.23761404144014345
40,16,25,3.0,14,0.18,1.8,0.6677076343223309,0.23770784200024478
40,12,15,2.0,14,0.15,1.8,0.6677081334485636,0.23760835090692578
36,16,20,3.0,14,0.22,2.2,0.66771188875389,0.23769772498568364
36,12,15,2.5,14,0.18,1.8,0.6677134840593556,0.2376134296743515
40,12,20,2.0,14,0.18,2.2,0.6677156372228298,0.23764592297445664
36,12,15,2.5,14,0.15,2.2,0.6677204342957115,0.23761253862036216
40,16,25,2.5,14,0.22,2.6,0.6677214823308786,0.23774740915858222
40,12,10,2.0,14,0.22,2.6,0.66772350184417,0.2376171645248537
36,12,15,3.0,10,0.18,2.2,0.6677275165140543,0.23763041906071528
36,12,25,3.0,14,0.15,1.8,0.6677282788560559,0.2376427445218105
40,16,25,3.0,14,0.15,2.2,0.6677311680587876,0.23770610640868114
40,12,20,2.5,10,0.18,2.2,0.6677358474130682,0.23765697214043321
40,12,10,2.5,10,0.15,2.6,0.6677371657477373,0.2376289858299387
40,20,15,2.5,14,0.22,2.2,0.6677461909072341,0.23772790518310769
40,16,15,3.0,10,0.15,2.2,0.667756295023877,0.2376635761865538
36,12,20,2.5,14,0.22,2.2,0.6677604136892173,0.23767342099423694
40,12,25,2.5,14,0.15,1.8,0.6677612747942387,0.2376703146971182
40,20,15,3.0,10,0.22,2.6,0.6677664348405603,0.23775540848277305
36,12,20,2.5,14,0.18,2.6,0.6677664448205481,0.23766564032867277
40,16,20,2.5,14,0.18,1.8,0.667776411822623,0.23770017246952524
40,12,25,2.0,14,0.22,2.6,0.6677785194527727,0.23772218395186162
40,12,15,2.0,10,0.22,2.2,0.6677809327869859,0.23765746831521872
40,16,10,2.5,10,0.22,2.2,0.6677816355938496,0.23767588308237744
40,12,10,2.0,14,0.22,2.2,0.667783710921253,0.23764529550875504
40,16,20,3.0,10,0.18,2.6,0.6677840140506419,0.23772773876767392
40,12,25,3.0,10,0.18,2.2,0.6677862682522647,0.23771446609372468
40,20,10,3.0,10,0.22,2.2,0.6677896623885459,0.23772720622449853
40,12,15,2.5,10,0.15,1.8,0.6677970430197521,0.23764992291693135
40,12,10,2.5,10,0.18,1.8,0.6677972330408293,0.23765630123718473
36,16,20,3.0,14,0.18,2.2,0.6677988245547104,0.23771219392330475
36,12,20,3.0,10,0.22,2.2,0.6678032390384422,0.2376996565216503
40,16,20,2.5,14,0.15,2.2,0.6678041609152179,0.23770359390867357
40,12,20,2.0,14,0.15,2.6,0.6678079437442045,0.2376800069687384
40,20,15,2.5,14,0.18,2.6,0.6678081454065043,0.23773983175922025
40,20,10,2.5,14,0.22,1.8,0.6678099700831033,0.23771963553836348
40,20,10,2.5,14,0.18,2.2,0.6678185496690184,0.237714106238281
40,16,15,2.0,14,0.22,2.2,0.6678222582296206,0.23771108719731202
36,16,20,3.0,14,0.15,2.6,0.6678283413057853,0.2377131475282976
36,16,20,3.0,14,0.22,1.8,0.6678293064474965,0.23773877777679034
36,12,15,2.5,14,0.15,1.8,0.6678338545797561,0.23765996739966347
36,12,10,3.0,10,0.22,2.6,0.6678355055487424,0.23767875781946926
40,12,10,2.0,14,0.18,2.6,0.6678393631142616,0.23766980170137886
