MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB,FormEmaA,FormEmaB
M0063,2025-11-12,DranDagger,RhinoReaper,2,6,1039.55,1008.5,1014.79,1029.5,Xtreme,Xtreme,exhibition,,,,33.446,34.9245,45.4633,38.568,0.5446,0.4554,0.0,1.0,0.1198,0.0348
M0064,2025-11-12,CerberusFlame,FoxBrush,1,4,1055.93,1095.78,1038.73,1110.63,Xtreme,Xtreme,exhibition,,,,34.9245,28.4261,50.58,43.6702,0.4429,0.5571,0.1029,0.8971,0.1494,0.1788
M0065,2025-11-12,TuskMammoth,RhinoReaper,0,4,1066.57,1029.5,1040.19,1053.71,Xtreme,Xtreme,exhibition,,,,30.769,33.446,47.6828,43.7554,0.5531,0.4469,0.0,1.0,0.1832,0.1027
M0066,2025-11-12,FoxBrush,RhinoReaper,8,4,1110.63,1053.71,1128.98,1033.72,Xtreme,Xtreme,exhibition,,,,27.3667,32.0629,43.8078,47.7223,0.5812,0.4188,1.0,0.0,0.2003,0.1628
M0067,2025-12-02,FoxBrush,WhaleFlame,5,0,1128.98,984.82,1147.08,966.93,Xtreme,Xtreme,exhibition,,,,26.3757,38.1942,44.5271,43.9927,0.6963,0.3037,1.1029,-0.1029,0.2294,-0.0506
M0068,2025-12-02,ImpactDrake,PerseusDark,5,0,1103.52,983.19,1120.68,965.07,Xtreme,Xtreme,exhibition,,,,28.4261,34.9245,39.3453,41.5295,0.6666,0.3334,1.1029,-0.1029,0.128,-0.063
M0069,2025-12-02,CerberusFlame,ScorpioSpear,4,2,1038.73,990.2,1050.27,980.07,Xtreme,Xtreme,exhibition,,,,33.446,33.446,41.8911,36.8011,0.5694,0.4306,0.8449,0.1551,0.0842,-0.0334
M0070,2025-12-02,CobaltDragoon,PhoenixRudder,4,1,1025.13,996.23,1038.6,983.12,Xtreme,Xtreme,exhibition,,,,32.0629,33.446,37.8831,36.8666,0.5415,0.4585,0.8971,0.1029,0.0605,-0.0341
M0071,2025-12-02,DranDagger,LeonCrest,4,0,1014.79,972.62,1030.2,952.63,Xtreme,Xtreme,exhibition,,,,32.0629,36.5049,35.0631,45.4768,0.5604,0.4396,1.0,0.0,0.0312,-0.0819
M0072,2025-12-02,KnightMail,WizardArc,4,0,1027.93,972.51,1045.54,953.38,Xtreme,Xtreme,exhibition,,,,34.9245,36.5049,41.8444,45.4687,0.5791,0.4209,1.0,0.0,0.066,-0.0819
M0073,2025-12-02,RhinoReaper,TyrannoBeat,4,3,1033.72,982.36,1043.52,971.84,Xtreme,Xtreme,exhibition,,,,30.769,34.9245,38.6383,41.4243,0.5734,0.4266,0.8271,0.1729,0.0853,-0.062
M0074,2025-12-02,WeissTiger,HellsReaper,4,1,997.83,971.21,1010.83,954.74,Xtreme,Xtreme,exhibition,,,,34.9245,36.5049,36.2402,45.9055,0.5382,0.4618,0.8971,0.1029,-0.0126,-0.0858
M0075,2025-12-02,TuskMammoth,SharkEdge,4,3,1040.19,981.82,1049.24,971.78,Xtreme,Xtreme,exhibition,,,,29.5585,34.9245,37.1005,41.1799,0.5832,0.4168,0.8271,0.1729,0.0851,-0.0597
M0076,2025-12-02,UnicornSting,PhoenixWing,2,5,1006.65,991.25,992.87,1007.29,Xtreme,Xtreme,exhibition,,,,32.0629,33.446,32.8695,38.2478,0.5222,0.4778,0.1029,0.8971,-0.0084,-0.0479
M0077,2025-12-02,ViperTail,PegasusBlast,5,0,995.52,982.8,1016.1,956.63,Xtreme,Xtreme,exhibition,,,,33.446,38.1942,35.1957,44.7634,0.5183,0.4817,1.1029,-0.1029,-0.0174,-0.0573
M0078,2025-12-02,DranSword,DranBrave,5,2,1012.14,980.05,1023.56,965.12,Xtreme,Xtreme,exhibition,,,,32.0629,34.9245,32.5105,42.5232,0.5461,0.4539,0.8971,0.1029,-0.0047,-0.0725
M0079,2025-12-02,SilverWolf,HellsHammer,5,1,1004.1,962.88,1019.26,941.37,Xtreme,Xtreme,exhibition,,,,33.446,36.5049,34.3852,48.7707,0.559,0.441,1.0,0.0,0.0094,-0.112
M0080,2025-12-02,WizardRod,LeonClaw,1,4,1011.09,973.02,996.33,993.37,Xtreme,Xtreme,exhibition,,,,32.0629,36.5049,32.6906,45.0565,0.5546,0.4454,0.1029,0.8971,-0.0065,-0.0781
M0081,2025-12-02,DranBuster,BlackShell,0,4,989.01,986.42,969.2,1006.66,Xtreme,Xtreme,exhibition,,,,34.9245,34.9245,39.3223,40.185,0.5037,0.4963,0.0,1.0,-0.042,-0.0502
M0082,2025-12-02,HellsChain,WhaleWave,3,4,991.69,978.96,978.51,993.49,Xtreme,Xtreme,exhibition,,,,34.9245,34.9245,38.1331,42.0558,0.5183,0.4817,0.1729,0.8271,-0.0306,-0.0681
M0083,2025-12-02,GolemRock,SamuraiSaber,4,0,994.11,963.83,1010.35,941.74,Xtreme,Xtreme,exhibition,,,,33.446,36.5049,35.5637,48.3872,0.5435,0.4565,1.0,0.0,-0.0211,-0.1085
M0084,2025-12-02,WizardArrow,CrimsonGaruda,0,4,972.35,961.53,948.86,986.65,Xtreme,Xtreme,exhibition,,,,36.5049,36.5049,45.567,48.7173,0.5156,0.4844,0.0,1.0,-0.0827,-0.1115
M0085,2025-12-02,FoxBrush,ViperTail,2,5,1147.08,1016.1,1121.24,1038.09,Xtreme,Xtreme,exhibition,,,,25.4485,32.0629,44.7655,38.1067,0.68,0.32,0.1029,0.8971,0.253,0.0628
M0086,2025-12-02,ImpactDrake,DranSword,2,4,1120.68,1023.56,1100.84,1040.26,Xtreme,Xtreme,exhibition,,,,27.3667,30.769,41.2539,34.7171,0.6362,0.3638,0.1551,0.8449,0.1691,0.0428
M0087,2025-12-02,CerberusFlame,SilverWolf,4,0,1050.27,1019.26,1069.68,1001.72,Xtreme,Xtreme,exhibition,,,,32.0629,32.0629,42.6127,38.4986,0.5445,0.4555,1.0,0.0,0.1097,0.0669
M0088,2025-12-02,CobaltDragoon,GolemRock,4,1,1038.6,1010.35,1052.86,997.46,Xtreme,Xtreme,exhibition,,,,30.769,32.0629,39.9862,36.1585,0.5406,0.4594,0.8971,0.1029,0.0999,0.0426
M0089,2025-12-02,DranDagger,PhoenixWing,4,3,1030.2,1007.29,1041.58,997.44,Xtreme,Xtreme,exhibition,,,,30.769,32.0629,38.6748,33.4504,0.5329,0.4671,0.8271,0.1729,0.0856,0.0144
M0090,2025-12-02,KnightMail,LeonClaw,2,4,1045.54,993.37,1026.74,1008.34,Xtreme,Xtreme,exhibition,,,,33.446,34.9245,44.8207,35.7052,0.5745,0.4255,0.1551,0.8449,0.1134,-0.0075
M0091,2025-12-02,RhinoReaper,BlackShell,5,0,1043.52,1006.66,1065.04,986.96,Xtreme,Xtreme,exhibition,,,,29.5585,33.446,39.1106,35.8189,0.5529,0.4471,1.1029,-0.1029,0.1077,0.0236
